customer_id,churn_risk,lifetime_value,activity_score,churn,last_login_days_ago,satisfaction_score,support_tickets,contract_value,region
1001,0.85,1200.50,12,1,45,2.1,5,5000,NA
1002,0.12,4500.00,85,0,2,4.8,0,12000,EU
1003,0.92,800.00,5,1,60,1.5,8,3000,NA
1004,0.05,8900.25,92,0,1,4.9,1,25000,APAC
1005,0.45,2100.00,45,0,15,3.2,2,7500,EU
1006,0.78,1100.00,15,1,30,2.5,4,4500,NA
1007,0.02,15000.00,98,0,0,5.0,0,50000,US
1008,0.65,1800.00,22,1,25,2.8,3,6000,APAC
1009,0.15,6700.50,78,0,5,4.5,1,18000,EU
1010,0.88,950.00,8,1,55,1.8,6,3500,NA
